cycle,Product ID,L1 Category,OLD,NEW,New-Old RL Qty,#Hub OOS karena WH,# New Hub OOS,Improvement in Hub OOS #,Verdict can we reduce oos potential?,Verdict can we mitigate oos?
2,35190,Biskuit,90,90,0,13,13,0,No,
2,35241,Minuman,144,240,96,13,8,-5,66.67%,
2,35255,Minuman,72,72,0,7,7,0,No,
2,35260,Vitamin,15,25,10,9,6,-3,66.67%,
2,35262,Vitamin,0,10,10,3,0,-3,100.00%,Yes
2,35265,Perawatan Diri ,72,72,0,2,2,0,No,
2,35266,Perawatan Diri ,0,0,0,1,1,0,No,
2,35289,Snack,150,175,25,96,83,-13,16.67%,
2,35292,Snack,160,160,0,2,2,0,No,
2,35332,Snack,0,24,24,37,0,-37,100.00%,Yes
2,35342,Obat-obatan,48,60,12,94,76,-18,25.00%,
2,35363,Susu & Olahan Susu,0,0,0,24,24,0,No,
2,35372,Kids Selection,160,169,9,35,34,-1,5.63%,
2,35382,Minuman,288,288,0,66,66,0,No,
2,35383,Minuman,0,0,0,15,15,0,No,
2,35384,Minuman,0,0,0,146,146,0,No,
2,35425,Makanan & Susu Bayi,0,0,0,1,1,0,No,
2,35426,Makanan & Susu Bayi,0,0,0,12,12,0,No,
2,35431,Makanan & Susu Bayi,0,0,0,3,3,0,No,
2,35432,Makanan & Susu Bayi,0,0,0,12,12,0,No,
2,35459,Susu & Olahan Susu,264,288,24,6,6,0,9.09%,
2,35461,Susu & Olahan Susu,312,360,48,10,9,-1,15.38%,
2,35549,Shampoo & Conditioner,35,35,0,4,4,0,No,
2,35550,Shampoo & Conditioner,0,24,24,12,0,-12,100.00%,Yes
2,35552,Tepung & Bahan Kue,144,204,60,54,39,-15,41.67%,
2,35757,Produk 21+,100,100,0,3,3,0,No,
2,35766,Sarapan,36,36,0,22,22,0,No,
2,35771,,160,200,40,91,73,-18,25.00%,
2,35772,Permen,216,216,0,30,30,0,No,
2,35796,Obat-obatan,0,0,0,7,7,0,No,
2,35802,Kebutuhan Cuci Baju,96,120,24,10,8,-2,25.00%,
2,35807,Shampoo & Conditioner,212,238,26,15,14,-1,12.26%,
2,35808,Perawatan Mulut,122,139,17,5,5,0,13.93%,
2,35824,Make Up,0,0,0,64,64,0,No,
2,35825,Make Up,2,2,0,168,168,0,No,
2,35826,Make Up,0,0,0,147,147,0,No,
2,35827,Make Up,0,0,0,28,28,0,No,
2,35828,Make Up,0,0,0,60,60,0,No,
2,35844,Kebutuhan Pokok,800,1040,240,101,78,-23,30.00%,
2,35845,Kebutuhan Pokok,120,120,0,38,38,0,No,
2,35846,Kebutuhan Pokok,1800,2040,240,170,150,-20,13.33%,
2,35847,Kebutuhan Pokok,280,360,80,78,61,-17,28.57%,
2,35849,Susu & Olahan Susu,384,456,72,17,15,-2,18.75%,
2,35950,Perawatan Rumah,48,48,0,3,3,0,No,
2,36208,Minuman,0,0,0,63,63,0,No,
2,36209,Minuman,54,90,36,106,64,-42,66.67%,
2,36224,Obat-obatan,0,0,0,73,73,0,No,
2,36227,Obat-obatan,0,0,0,7,7,0,No,
2,36231,Perawatan Rumah,204,221,17,43,40,-3,8.33%,
2,36232,Obat-obatan,0,0,0,3,3,0,No,
2,36248,Kebutuhan Cuci Baju,0,0,0,18,18,0,No,
2,36255,Peralatan Dapur,48,48,0,2,2,0,No,
2,36268,Minuman,48,68,20,20,15,-5,41.67%,
2,36280,Vitamin,0,0,0,12,12,0,No,
2,36319,Make Up,6,12,6,5,3,-2,100.00%,
2,36401,Skincare,44,49,5,7,7,0,11.36%,
2,36402,Skincare,10,20,10,7,4,-3,100.00%,
2,36403,Skincare,0,0,0,3,3,0,No,
2,36416,Susu & Olahan Susu,0,0,0,1,1,0,No,
2,36417,Susu & Olahan Susu,216,336,120,1,1,0,55.56%,
2,36449,Makanan & Susu Bayi,0,0,0,7,7,0,No,
2,36451,Tepung & Bahan Kue,227,244,17,63,59,-4,7.49%,
2,36452,Makanan & Susu Bayi,0,0,0,11,11,0,No,
2,36453,Makanan & Susu Bayi,24,24,0,2,2,0,No,
2,36454,Makanan & Susu Bayi,0,0,0,68,68,0,No,
2,36458,Makanan & Susu Bayi,0,0,0,6,6,0,No,
2,36459,Makanan & Susu Bayi,0,0,0,48,48,0,No,
2,36473,Snack,36,60,24,10,6,-4,66.67%,
2,36474,Snack,36,48,12,1,1,0,33.33%,
2,36475,Snack,96,96,0,1,1,0,No,
2,36497,Makanan & Susu Bayi,12,12,0,28,28,0,No,
2,36504,Snack,240,312,72,12,10,-2,30.00%,
2,36505,Snack,48,48,0,18,18,0,No,
2,36506,Snack,48,60,12,27,22,-5,25.00%,
2,36511,Obat-obatan,0,0,0,35,35,0,No,
2,36512,Obat-obatan,146,159,13,55,51,-4,8.90%,
2,36513,Perawatan Hewan,24,24,0,7,7,0,No,
2,36514,Perawatan Hewan,48,48,0,7,7,0,No,
2,36516,Perawatan Hewan,0,24,24,2,0,-2,100.00%,Yes
2,36591,Minuman,473,583,110,189,154,-35,23.26%,
2,36595,Perlengkapan Pakaian ,504,733,229,45,31,-14,45.44%,
2,36603,,0,0,0,122,122,0,No,
2,36605,Alat Kesehatan,120,171,51,27,19,-8,42.50%,
2,36644,Kids Selection,101,104,3,72,70,-2,2.97%,
2,36645,Kids Selection,178,190,12,116,109,-7,6.74%,
2,36646,Kids Selection,40,40,0,7,7,0,No,
2,36648,Tata Rumah,140,140,0,83,83,0,No,
2,36651,Alat Kesehatan,64,101,37,2,2,0,57.81%,
2,36652,Alat Kesehatan,22,38,16,13,8,-5,72.73%,
2,36653,Alat Kesehatan,5,17,12,9,3,-6,240.00%,
2,36662,Snack,96,96,0,85,85,0,No,
2,36663,Snack,144,192,48,97,73,-24,33.33%,
2,36664,Snack,288,288,0,138,138,0,No,
2,36671,Bahan Masak & Bumbu,0,12,12,21,0,-21,100.00%,Yes
2,36673,Bahan Masak & Bumbu,108,108,0,12,12,0,No,
2,36674,Bahan Masak & Bumbu,36,36,0,48,48,0,No,
2,36675,Minuman,0,30,30,38,0,-38,100.00%,Yes
2,36677,Tepung & Bahan Kue,130,170,40,13,10,-3,30.77%,
2,36680,Kebutuhan Pokok,0,0,0,12,12,0,No,
2,36707,Perawatan Hewan,128,128,0,9,9,0,No,
2,36708,Vitamin,2,2,0,3,3,0,No,
2,36710,Vitamin,0,0,0,14,14,0,No,
2,36714,Perawatan Hewan,0,0,0,1,1,0,No,
2,36716,Perawatan Hewan,0,0,0,1,1,0,No,
2,36717,Perawatan Hewan,0,0,0,9,9,0,No,
2,36719,Perawatan Hewan,128,192,64,32,22,-10,50.00%,
2,36721,Perawatan Hewan,128,192,64,10,7,-3,50.00%,
2,36748,Perawatan Diri ,0,0,0,42,42,0,No,
2,36755,Make Up,0,0,0,10,10,0,No,
2,36770,Tepung & Bahan Kue,0,48,48,58,0,-58,100.00%,Yes
2,36784,Snack,264,348,84,96,73,-23,31.82%,
2,36785,,312,360,48,117,102,-15,15.38%,
2,36796,Vitamin,16,16,0,5,5,0,No,
2,36797,Vitamin,15,15,0,8,8,0,No,
2,36798,Vitamin,18,18,0,39,39,0,No,
2,36799,Vitamin,35,39,4,31,28,-3,11.43%,
2,36802,Vitamin,0,0,0,56,56,0,No,
2,36803,Peralatan Ibu & Bayi,118,133,15,43,39,-4,12.71%,
2,36808,Shampoo & Conditioner,48,45,-3,5,6,1,No,
2,36845,Sarapan,0,120,120,44,0,-44,100.00%,Yes
2,36877,Minuman,168,216,48,35,28,-7,28.57%,
2,36878,Minuman,72,72,0,6,6,0,No,
2,36879,Minuman,72,96,24,18,14,-4,33.33%,
2,36916,Makanan & Susu Bayi,0,0,0,15,15,0,No,
2,36917,Bahan Masak & Bumbu,144,192,48,7,6,-1,33.33%,
2,36918,Bahan Masak & Bumbu,96,96,0,5,5,0,No,
2,36919,Makanan & Susu Bayi,0,0,0,6,6,0,No,
2,36920,Makanan & Susu Bayi,48,48,0,1,1,0,No,
2,36924,Bahan Masak & Bumbu,0,0,0,10,10,0,No,
2,36926,Bahan Masak & Bumbu,144,144,0,9,9,0,No,
2,36927,Bahan Masak & Bumbu,48,48,0,9,9,0,No,
2,36928,Bahan Masak & Bumbu,192,240,48,16,13,-3,25.00%,
2,36929,Bahan Masak & Bumbu,96,120,24,5,4,-1,25.00%,
2,36939,Kebutuhan Pokok,0,0,0,29,29,0,No,
2,36946,Alat Kesehatan,200,400,200,42,21,-21,100.00%,
2,36969,Kebutuhan Pokok,260,260,0,1,1,0,No,
2,36972,Snack,200,220,20,58,53,-5,10.00%,
2,36973,Snack,180,210,30,38,33,-5,16.67%,
2,36976,Gas & Air Galon,1044,1145,101,162,148,-14,9.67%,
2,36978,Peralatan Dapur,30,30,0,15,15,0,No,
2,36979,Peralatan Dapur,475,514,39,189,175,-14,8.21%,
2,36981,Alat Tulis Kantor,615,669,54,117,108,-9,8.78%,
